Complexity,Loss,Equation
1,0.8446584,"-2.337622"
3,0.72705245,"-16.014229 / x1"
5,0.57824075,"-16.89949 / (x1 - x0)"
7,0.5382133,"(-113.33201 / x1) / (x1 - x0)"
9,0.53573877,"(-8.395241 / (x1 - 3.3768137)) - (x0 / 3.6107004)"
11,0.53473765,"(-8.610168 / (x1 - 3.2955124)) - ((x0 * 0.042703655) * x1)"
12,0.5347159,"(-8.610168 / (x1 - 3.2955124)) - (x0 * exp(-8.203936 / x1))"
13,0.52907073,"(-8.645411 / (x1 - 3.284703)) + (x0 * ((x0 - -12.051334) / -26.601217))"
14,0.5188995,"((-30.924084 / x1) - -3.62833) - (1.6621308 / ((x0 * -1.305229) + exp(x0)))"
15,0.5182529,"((-29.261023 / x1) + 3.063177) - ((x0 + 3.251416) / ((x0 * x0) + 2.4423637))"
17,0.51708734,"((-11.316833 / (x1 - 2.7086415)) + 1.6072967) - ((3.4126396 + x0) / ((x0 * x0) + 2.4374654))"
19,0.51655996,"((-14.580959 / (x1 - 2.144055)) + 1.9446117) - (((x0 + 3.474257) * 0.80431664) / ((x0 * x0) + 2.034494))"
21,0.5164929,"(log(x2) + (-36.000393 / x1)) + (((x1 * -0.3930853) + (x0 * -0.7448911)) / ((x0 * x0) + log(x1)))"
22,0.516056,"((-39.908195 / x1) + (x2 * 0.07756567)) - (((x1 * 0.4020973) + (x0 * 0.7163875)) / (log(x1) + (x0 * x0)))"
24,0.5157559,"((x2 * 0.055075407) + (-23.65059 / (x1 + -1.5399733))) - (((x0 * 0.71019816) + (x1 * 0.3986071)) / (log(x1) + (x0 * x0)))"
